subscription_id,project_id__hashed,plan_id,reporting_date,subscription_period_start,subscription_period_end,subscription_period_number,cumulative_data_usage_megabyte,cumulative_voice_usage_minutes,cumulative_sms_usage,number_of_addons_activated
sub_b97107a1c7ef89cf28a7e83ee850,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-07 00:00:00,2024-02-04,2024-02-07,1,0.0,0.0,0.000000000,0
sub_2353ef9e8bf55916b97ceb30194c,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-08 00:00:00,2024-01-25,2024-02-08,1,56.66099200000001,1.0,1.000000000,0
sub_5d5605c8cf0b46116a42cedb9561,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_1d3f49d61a672755efc1865c4d9a,2024-02-08 00:00:00,2024-01-25,2024-02-08,1,160.659456,0.0,1.000000000,0
sub_8e114d3a638d12ca1526a3fbedd6,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-08 00:00:00,2024-01-28,2024-02-08,1,156.870656,93.0,198.000000000,0
sub_16059484727214a6b903fa16d0fe,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-10 00:00:00,2024-02-09,2024-02-10,1,0.0,0.0,0.000000000,0
sub_20f9f8835e4104a6498458aa237b,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_af7b4a30086929d37e7f4eb3daed,2024-02-15 00:00:00,2024-02-08,2024-02-15,1,0.0,0.0,0.000000000,0
sub_295fec8cc927f08188343c587b40,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-20 00:00:00,2024-01-21,2024-02-21,1,0.0,0.0,0.000000000,0
sub_3f4dad4c8b9a0a47e9978a52a9f7,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_af7b4a30086929d37e7f4eb3daed,2024-02-20 00:00:00,2024-01-21,2024-02-21,1,0.0,0.0,0.000000000,0
sub_c3a268a15587a6cbc1a28024f5c0,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-22 00:00:00,2024-02-09,2024-02-22,1,0.0,0.0,0.000000000,0
sub_33a0ae00d157b9af42b7761386b7,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,pln_0a3b55b9abb575b023c07e617b49,2024-02-23 00:00:00,2024-01-24,2024-02-24,1,0.0,0.0,0.000000000,0
